product_id,title,vendor,tags,category
3937721221199,Fidele Super Premium Adult Large Breed Dog Food,Fidele,"['Adult', 'Bangalore', 'Chennai', 'Chicken', 'Doberman', 'Dog Dry Foods', 'Fidele', 'German Shepherd', 'Golden Retriever', 'Great Dane', 'HighPriority', 'Imported', 'Labrador', 'Less than 1000', 'Less than 2000', 'Less than 500', 'Mastiff', 'Orange Pet Nutrition']",Animals & Pet Supplies
7353058033889,Foldable Pet Toys Linen Storage,Cap Point,[],Animals & Pet Supplies
6594773549129,Bok Dok Diaper,Pets Home,"['Brand_Pet Arabia', 'Category_Pets Home', 'Category_Small Pets Supplies', 'Type_Pet Home', 'Type_Pet Supplies']",Animals & Pet Supplies
4802008318014,Tastybone Toy Chicken,TastyBone,[],Animals & Pet Supplies
1779705151539,Leather Leash Tab - Short Dog Leash,Mighty Paw,"['Leash', 'Leash Tab', 'Training']",Animals & Pet Supplies
2023627685999,PrideBites Texas Guitar Dog Toy,Pride Bites,"['Brand_PrideBites', 'Toy Type_Plush']",Animals & Pet Supplies
8547081554,Burns Sensitive Pork & Potato,Burns,"['10-25', '25-50', '50-75', 'Adult', 'burns', 'Coat', 'dog-food', 'Food Delivery', 'JANSALE18', 'Natural', 'nonsale19', 'Sensitive', 'size-12kg', 'size-2kg', 'size-6kg', 'Skin']",Animals & Pet Supplies
4457659662447,Bully Sticks & Dog Toy,Adog.co,"['Bully Sticks', 'Dog Chew Toys', 'Dog Toys']",Animals & Pet Supplies
4693403861072,Kazoo Tough Giraffe Dog Toy,Kazoo,"['Brand_Kazoo', 'JUNE2021', 'kazoo', 'Material_Plush', 'Plush']",Animals & Pet Supplies
4474668613766,Orgo - Dog Biscuits Fresh Milk,PETKU,"['Brand_Orgo', 'Category_Dogs', 'dogs', 'Lifestage_All lifestages', 'orgo', 'Price_Rp 0 to Rp 100.000', 'Subcategory_Treats', 'treats']",Animals & Pet Supplies
1969533825,Alien Flex Wormhole | Dog Toy,Zee.Dog,"['active', 'bf_4_toys_20', 'cm_30', 'cm_sale', 'collection:alien_flex', 'color_pink', 'new-product-page', 'ThrowAndFetch', 'Toys', 'Tugging', 'type:throw_toy']",Animals & Pet Supplies
2025049423937,Wave Scissor Aquatic Plant Cleaning Tool,Pet Clever,"['Aquarium Cleaning Supplies', 'Aquariums & Kits', 'Fish', 'Other Pets', 'rr_track_Fish']",Animals & Pet Supplies
